iter	Logloss	Accuracy	Precision	Recall	F1
84	0.1642834276	0.9356227789	0.9245144039	0.9487064045	0.9364541885
85	0.1640451001	0.9357146439	0.9246239632	0.9487740583	0.9365433505
86	0.1636079297	0.9359067875	0.9248827423	0.9488798318	0.9367276228
87	0.1631817875	0.9360757503	0.9251484736	0.9489268803	0.9368868259
88	0.1628704332	0.9362002401	0.9252514769	0.9490735208	0.9370111137
89	0.1625047156	0.936339497	0.9254167214	0.9491772337	0.9371463951
90	0.1619668849	0.9365072578	0.9255131784	0.94942587	0.9373170348
91	0.1616474081	0.9365908807	0.9256512658	0.9494413239	0.9373953778
92	0.1614465969	0.93664102	0.9256750649	0.9495216842	0.9374467475
93	0.1611820899	0.9366947653	0.925692258	0.9496178419	0.9375024262
94	0.1610595251	0.9367509145	0.925771651	0.9496442853	0.9375560278
95	0.1606338586	0.9369258872	0.925866518	0.949910436	0.9377343782
96	0.1602987693	0.9370211863	0.9259606881	0.9500041897	0.9378283609
97	0.1600174733	0.9371269597	0.9260649255	0.9501085895	0.9379326945
98	0.1597296466	0.9371774425	0.9260448224	0.9502425234	0.937987639
99	0.1594161037	0.9372641561	0.926175968	0.9502730878	0.9380698018
100	0.1588300351	0.9374882379	0.9264981496	0.9503723363	0.9382834006
101	0.1586302537	0.9375759817	0.9266049701	0.9504344953	0.9383684716
102	0.158351271	0.9376956637	0.9267569434	0.9505117649	0.9384840582
103	0.1580793708	0.9378050431	0.9268980381	0.9505797621	0.9385895444
104	0.157718381	0.9379683394	0.9270934499	0.9506996158	0.9387481536
105	0.1574317562	0.9380773753	0.9272500006	0.9507483815	0.9388521797
106	0.1572578433	0.9381348982	0.9272890713	0.9508263379	0.9389102155
107	0.1568766164	0.9382597315	0.9273024788	0.9510811557	0.9390413087
108	0.1566094569	0.9383433543	0.9274001822	0.9511453753	0.9391227067
109	0.1564167713	0.9384128969	0.9274941842	0.9511834949	0.9391894836
110	0.1562063358	0.9385229631	0.9276437543	0.9512429067	0.9392951257
111	0.1559526567	0.9385937077	0.9276866755	0.9513449025	0.9393668528
112	0.1558363666	0.9386575839	0.9277950929	0.951353488	0.9394266177
113	0.1555735759	0.9387374291	0.9278759703	0.9514297273	0.9395052466
114	0.1552273955	0.938848869	0.9280395576	0.9514754022	0.939611368
115	0.1550218237	0.9389254517	0.928147239	0.9515124916	0.9396846435
116	0.1547225553	0.9390626481	0.9283056009	0.9516203255	0.9398183894
117	0.1544773975	0.9391897136	0.9284528059	0.951719574	0.9399422291
118	0.1542738041	0.9392501556	0.9285430691	0.9517425832	0.9399997049
119	0.1541319838	0.9393239909	0.9286452642	0.9517803594	0.9400704949
120	0.1538454509	0.9394043513	0.9287765423	0.9517975304	0.940146131
121	0.1536981844	0.9394562077	0.9288455397	0.951827408	0.9401960543
122	0.1534355773	0.9396117771	0.9290355988	0.9519373024	0.9403470313
123	0.1532242151	0.9397034703	0.9291296885	0.9520235009	0.9404372848
124	0.1529828703	0.9397901839	0.9291416818	0.9521969282	0.9405280374
125	0.1527810404	0.9398623022	0.9292080266	0.9522738543	0.9405995539
126	0.1525900591	0.9399467836	0.9293206736	0.9523222766	0.9406808869
127	0.152453746	0.9400211341	0.9294080506	0.9523789409	0.9407532934
128	0.1522570358	0.9400989188	0.9295318952	0.9523995461	0.9408267864
129	0.1519917812	0.940173441	0.9295551004	0.9525331366	0.9409038514
130	0.1517396145	0.9402536296	0.9296254355	0.9526227693	0.9409836116
131	0.1514962492	0.9403405149	0.929748245	0.9526643232	0.9410667964
132	0.1512557942	0.9404189865	0.9298437016	0.9527203007	0.9411430049
133	0.1508097609	0.9406102716	0.9301001663	0.9528284781	0.9413271486
134	0.1505708879	0.9407260042	0.9302468883	0.9529040305	0.9414391597
135	0.150307795	0.9408556453	0.9303952351	0.9530077434	0.9415657442
136	0.1500806908	0.9409626208	0.9305154053	0.9530960025	0.9416703566
137	0.149910663	0.9410139621	0.9305238138	0.953196968	0.9417239397
138	0.1496616364	0.9411113217	0.9306634712	0.9532412692	0.9418170775
139	0.1494647613	0.941218984	0.9307693056	0.9533480729	0.9419234002
140	0.1492811383	0.9413146265	0.9308712064	0.9534335846	0.9420173163
141	0.1490644787	0.9413906941	0.9309424396	0.9535132581	0.9420926793
142	0.1488533094	0.9414782663	0.9310718773	0.9535486304	0.9421762204
143	0.1486106583	0.9415794036	0.9311991152	0.9536159407	0.942274222
144	0.1483770272	0.9416623396	0.9313085954	0.9536650498	0.9423542449
145	0.1482102815	0.9417437302	0.9313556733	0.9537849035	0.9424368579
146	0.1480963619	0.9417815064	0.9314029773	0.9538103166	0.942473482
147	0.147882017	0.9418615233	0.9315282912	0.953834356	0.9425493701
148	0.1475368161	0.9420004368	0.9317269427	0.9538985756	0.9426824095
149	0.1473416706	0.9420777064	0.9317647603	0.9540204898	0.9427612958
